Year,DP01,DP10,DP1X,EMXP,PRCP,CDSD,CLDD,DSND,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,TAVG,TMAX,TMIN,AWND,DSNW,DYFG,DYTS,EMSN,SNOW,HN01,HX01,LN01,LX01,MN01,MX01,DYHF,WDF2,WDF5,WSF2,WSF5,HN02,HN03,HX02,HX03,HX04,HX05,LN02,LN03,LX02,LX03,LX04,LX05,MN02,MN03,MX02,MX03,MX04,MX05,WDMV,WDF1,WDFG,WSF1,WSFG
2000,140,96,4,44.2,918.35,103.3,103.3,1,0,110,8,122,9,-7.8,25,35,-0.65,-3.2,-5.1,-7.4,-10.4,-0.3,-2.6,-4.8,-7.3,-9.5,2896.7,2896.7,10.25,16.57,4.17,2.6,1,15,2.5,38,51,23.05,32.2,-0.3,1.1,10.3,15.85,31,200,195,16.5,21.25,24.4,25.6,36.7,30,,,1.1,2.2,3.3,2.8,,,11.4,12.1,17.4,14.5,,,,,,,
2001,142.5,96,5,40.9,901.2,97.7,97.7,0,0,117,4,124.5,7.5,-7.8,0,36.1,-0.65,-2.3,-5,-7.3,-10,-0.6,-2.8,-5,-7.6,-9.8,3089.7,3089.7,10.43,17.06,3.855,2.65,0,13,3,1.5,1.5,21.95,31.65,-0.3,1.1,10.1,15.8,40,195,200,15.6,20.35,23.3,25,35,28.9,,,1.7,3.3,3.3,3.3,,,11.4,12.2,17.6,14.6,,,,,,,
2002,122,86,8,48.3,967.95,145.5,145.5,0,0,110.5,3,125,15,-10.6,0,38.9,-0.9,-3.25,-5.6,-7.9,-9.95,-1,-2.8,-5,-7.8,-10,2924.4,2924.4,10.79,17.55,4.205,2.7,0,12,2.5,0,0,23.3,34.15,-2.75,0.55,10.35,16.2,34,190,195,16.55,23.5,25.6,26.1,36.7,31.7,,,1.1,2.2,2.8,2.2,,,11.6,12.3,18,14.8,,,,,,,
2003,158,107,7,63.2,1160.8,198,198,1,0,76,2,130,25,-8.7,25,38.3,-0.6,-4.1,-5.6,-7.8,-10.4,-0.6,-3.3,-5,-7.2,-9.75,2787.9,2787.9,11.26,17.61,5.32,2.75,0.5,9,2.5,19,25,24.15,34.15,0.85,1.95,11.55,17,30,185,195,14.95,19,26.1,,37.2,,,,0.6,,2.8,,,,12.4,,18.6,,,,,,,,
2004,145.5,102,5,42.55,891.1,167.3,167.3,17,0,92,6,128.5,17,-11.7,190.5,37.7,-0.5,-2.5,-5,-7.1,-9.4,-0.5,-2.8,-5.95,-7.5,-10.35,2876.2,2876.2,10.89,17.28,4.84,2.5,1,14.5,3.5,76,89,23.9,25,1.1,1.1,11.4,12,45,170,180,14.8,20.1,,,,,,,,,,,,,,,,,,,,,,,
2005,142,100,9,53.3,1157.3,130.45,130.45,1,0,89,6,109,15,-9.25,25,35.6,-0.6,-2.8,-5,-7.2,-9.4,-0.45,-2.7,-5,-7.2,-9.6,2929.3,2929.3,10.165,16.51,4.745,2.3,0,23,6,0,0,23.85,33.9,-0.3,0,10.7,15.95,45,180,270,15.6,21,24.4,,37.2,,,,-0.6,,0.6,,,,11.6,,17.7,,,,,,,,
2006,143,113,12,61,1388.3,170.85,170.85,5,0,84,5.5,129,23,-11.8,102,39.7,-0.6,-2.9,-5.6,-8.3,-10,-0.4,-2.8,-5.5,-7.7,-9.6,3316.9,3316.9,10.01,17.245,4.42,2.6,0.5,28,4,19,48.5,26.7,43.3,-0.6,-0.6,10.6,20.6,34.5,200,225,17.4,24.35,27.2,27.2,38.3,32.2,,,-0.6,1.1,1.1,1.1,,,11.8,12.4,17.8,14.9,,,,,,,
2007,134,95,8,54.6,997.6,114.6,114.6,12,0,89,10.5,112,9,-11.9,89,37.8,-0.5,-2.7,-5,-7.2,-9.4,-0.6,-2.7,-5.2,-7.8,-10,3103.9,3103.9,9.89,16.235,4.26,2.5,1,34,2,33,51,24.15,33.05,0.3,0.6,10.8,16.2,47.5,180,200,16.55,21.9,25,26.1,36.7,30,,,0,1.1,0.6,1.1,,,11.3,12,17.5,14.3,,,,,,,
2008,146,98.5,3.5,43.7,975.35,132.6,132.6,52,0,103,8.5,106.5,14,-12.25,660,37.8,-0.6,-2.8,-6.1,-7.8,-10.6,-0.55,-2.8,-5.6,-7.2,-9.6,3400.8,3400.8,9.35,15.605,4.055,2.6,4,20,5,102,254,23.35,32.25,-1.1,0.3,10.25,15.45,52,180,170,17.4,36,25.6,26.1,35.6,30,,,0.6,0.6,0.6,0.6,,,10.8,11.3,16.7,13.8,,,,,,,
2009,141,90,4,43.8,939.75,170.7,170.7,12,0,97,9,119,18,-13.9,133.5,39.4,-0.3,-3,-5.1,-7.8,-10.4,-0.6,-2.7,-4.75,-7.55,-9.9,3188.9,3188.9,9.67,16.22,4.56,2.5,1,13.5,4.5,37,79,23.3,23.9,-1.1,-1.1,10.8,11.3,51,180,240,17.45,25.9,,,,,,,,,,,,,,,,,,,,,,,
