State,Year,DP01,DP10,DP1X,EMXP,PRCP,CDSD,CLDD,DSND,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,TAVG,TMAX,TMIN,AWND,DSNW,DYFG,DYTS,EMSN,SNOW,HN01,HX01,LN01,LX01,MN01,MX01,DYHF,WDF2,WDF5,WSF2,WSF5,HN02,HN03,HX02,HX03,HX04,HX05,LN02,LN03,LX02,LX03,LX04,LX05,MN02,MN03,MX02,MX03,MX04,MX05,WDMV,WDF1,WDFG,WSF1,WSFG
Idaho,2000,88,46,0,17,340.4,139.3,139.3,92.5,0,159,36,109,22,-16.7,355.5,36.7,-2.2,-3.3,-6.7,-7.2,-9.4,-0.6,-3.3,-4.4,-11.1,-11.1,3537.4,3537.4,7.62,13.83,1.42,,11,10.5,2,101.5,636,21.1,22.2,-1.7,-0.6,10.2,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2001,92,40,0,20.6,346.5,479.8,479.8,92.5,0,135,27,143,43.5,-14.4,266.5,38.9,-1.7,-2.8,-5,-7.8,-9.4,-0.6,-2.8,-4.4,-8.9,-9.8,3242.4,3242.4,11,16.565,3.34,,6,4,,114,419,22.2,23.3,-1.7,-1.1,9.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2002,55,20,0,20.6,134.2,292.8,292.8,28,0,149.5,16,134.5,32,-13.6,254,40.55,-3.9,-3.9,-5,-8.3,-11.1,-2.25,-2.5,-6.5,-8.05,-10.25,2933.2,2933.2,9.365,16.355,2.24,,0,3.5,1,13,13,23.3,26.1,-6.1,-1.1,10.3,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2003,91.5,46.5,0.5,26.8,375.15,246.6,246.6,0,0,148,17.5,145.5,53.5,-14.4,0,40.25,0,-6.3,-6.3,-9.4,-11.65,-1.1,-4.4,-4.8,-6.7,-9.4,3669.9,3669.9,8.55,17.355,2.08,,1,5,1,25,25,23.9,24.4,1.1,1.7,11.7,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2004,115,53,0,24.1,280.3,162.7,162.7,78.5,3,116,20.5,116.5,27.5,-22.7,419.5,36.65,-0.5,-2.7,-5.6,-6.9,-9.45,-0.1,-2.6,-6.8,-8.2,-8.9,3795.85,3795.85,8.54,15.545,4.14,1.1,6.5,18,2,95.5,345,23.9,25,1.1,1.1,11.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2005,110,83.5,3,29.85,512.3,116,116,62.5,5,127.5,39,105,14,-24.45,343,35.6,-1,-2.6,-5.25,-7.15,-10.4,0,-2.3,-4.7,-7.15,-9.2,3541.4,3541.4,7.86,13.89,2.12,1.2,5,2,3,76,299.5,23.3,23.9,-0.6,0,10.7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2006,125,125,5,43.2,690.5,209.75,209.75,75,2,139.5,26,105,13,-20.35,317.5,35.9,0,-3.05,-7.25,-9.05,-9.15,-1.95,-2.5,-5,-8.7,-10.3,4121.6,4121.6,8.4,13.55,3.245,1.2,0.5,,,25.5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2007,89.5,68,2,39.35,311.75,215,215,8,2,129.5,31,111,26,-18.45,25,38.3,-0.3,-3.2,-4.95,-7.35,-9.35,-0.5,-3.15,-5.35,-8.4,-9.95,3790.05,3790.05,8.325,14.1,3.3,9.9,1,,,25,64,24.4,25,0,0.6,11.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2008,96,75.5,0,23.65,456.2,122.4,122.4,140,7.5,165,31,107,14,-22.6,940,37.8,-0.5,-3.05,-5,-7.1,-10.2,-1.1,-3.05,-5.8,-7.15,-9.4,4055.5,4055.5,7.25,13.14,2.07,13.1,7,1,1,102,744.5,22.8,23.9,-1.1,0.6,10.8,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2009,80,31,1,25.4,232.4,152.2,152.2,185.5,4,152.5,38.5,103.5,8.5,-20.25,1562,33.55,-1.8,-2.65,-4.8,-7.8,-10.1,-0.55,-2.75,-5.1,-7.45,-9.65,4111.25,4111.25,7.43,12.485,2.375,3.2,4,2,,57.5,268.5,23.3,23.9,-1.1,-1.1,10.8,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2010,101,44,0,20.6,321.6,206.4,206.4,63,1,128.5,17,119.5,19,-17.25,317.5,35,-0.6,-3.6,-6.25,-9.5,-11.4,-1.95,-3.3,-5.35,-7.2,-12.3,3945.2,3945.2,9.26,15.43,3.54,,3.5,11,6,146,355.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2011,99,42.5,0.5,25.25,320.6,264.15,264.15,59,1,153.5,23.5,124,21,-18.3,406,35,-0.35,-2.25,-5.6,-7.2,-9.7,-0.3,-2.5,-5.15,-8.85,-10.85,3397.3,3397.3,8.835,15.215,2.655,,1,12,5,25,65,23.3,23.9,-0.6,-0.6,10.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2012,114,57,3,31.15,559.75,195.1,195.1,90.5,0,137,23.5,117.5,13.5,-11.7,584.5,35.3,-0.6,-2.4,-6.1,-7.2,-10,-0.6,-3.3,-5.8,-7.2,-9.4,3799.1,3799.1,8.96,14.265,3.46,1.4,10.5,3.5,6,133.5,895.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2013,105,59,4,46.7,551.1,176.5,176.5,138,3,154,38,112,17,-21.7,559,35.25,-1.2,-2.2,-6.3,-8,-10,-1.5,-3.1,-4.45,-7.7,-10.1,3453.8,3453.8,8.14,13.71,3.07,1.4,12,16,,102,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2014,115.5,55,1.5,28.8,539.3,137.3,137.3,166.5,4,110,48,74,2,-21.2,1790.5,32.9,-1.6,-3.7,-8.9,-8.9,-11.8,-0.9,-2.3,-4.5,-8.9,-10,5211.7,5211.7,7.55,11.54,3.55,1.4,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2015,101,61,3,40.6,618.7,213.55,213.55,88,0,126.5,30.5,108,15.5,-15.25,406,37.2,-0.85,-2.55,-4.8,-7.15,-9.45,-0.45,-2.8,-6.65,-7.5,-10,3490.9,3490.9,9.33,14.415,3.82,1.4,6.5,10,,72,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2016,146.5,90.5,2,37.95,739.8,117.15,117.15,97,2,110,30.5,97,9.5,-19.45,483,32.95,-0.85,-2.8,-6.25,-8.05,-10.7,-0.85,-3.05,-4.4,-7.15,-12.5,3499.4,3499.4,8.66,13.425,3.715,1.4,12,7,5,112,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2017,121,66,2,38.1,596.1,262,262,121,8,142,52,113,32,-24.4,978,36.7,-0.6,-2.8,-4.7,-7.2,-10,-0.6,-2.2,-5.6,-7.8,-8.9,4060.3,4060.3,8.1,13.88,2.33,1.3,17,4,,289.5,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2018,107.5,63.5,0.5,22.85,492.7,153.6,153.6,154,4,149,26,112,21,-18.9,737,38.3,0,-2.7,-5.3,-7.1,-9.3,0,-4,-5.6,-7.2,-11.7,3799.2,3799.2,8.44,14.08,2.8,1.3,16,5,,224,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2019,104,58.5,1.5,29.2,481,134.5,134.5,94.5,3,158,44,109,10,-17.8,749.5,36.7,-1.3,-5,-5,-8.3,-10.6,-1.2,-2.3,-4.7,-6.7,-10,3936.2,3936.2,7.65,13.27,2.15,1.3,13,3,5,225,868.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2020,114,63,1,30,453.3,170.6,170.6,42,0,148,27,114,19,-11.1,406,38.3,-0.6,-2.8,-7.8,-9.4,-9.9,-0.4,-3.3,-4.9,-7.2,-10.6,3853,3853,8.7,14.62,3.06,,3,16,9,53,164,23.9,24.4,0.6,1.1,11.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2021,86,63,2,38.1,418.15,309.2,309.2,79,1.5,139,31.5,103.5,24,-18.6,533.5,38.6,-0.6,-3.15,-5.55,-6.85,-10.1,-0.3,-3.35,-4.95,-7.3,-9.2,3531.9,3531.9,8.8,14.115,3.485,,11.5,1,2,216,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,2022,95,65,2,31.5,609.7,234.45,234.45,124,4.5,154,48.5,102,14.5,-26.1,825.5,35.05,-0.7,-3.6,-5.85,-8.05,-10.3,-0.55,-3.3,-4.4,-7.55,-9.55,4011.1,4011.1,7.755,12.81,2.225,,20.5,9,2,254,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,2000,150.5,101.5,6.5,50.3,1071,91.9,91.9,0,0,70.5,0,122,8,-6.1,0,35,-0.6,-3.2,-5,-7.7,-10.5,-0.45,-2.55,-4.85,-7.3,-9.6,2769.3,2769.3,10.515,16.6,4.855,2.6,0,11.5,3,0,0,25,42.2,1.1,2.8,10.4,20.4,58,180,170,16.5,21.9,24.4,25.6,36.7,30,,,1.1,2.2,3.3,2.8,,,11.4,12.1,17.4,14.5,,,,,,,
Oregon,2001,152.5,104,5.5,44.35,983.1,92.9,92.9,0,0,72,0,121,5.5,-5.7,0,35.85,-0.6,-2.3,-5,-8.6,-12.05,-0.6,-2.8,-5,-7.35,-10.2,2939.9,2939.9,10.56,16.725,4.435,2.7,0,22.5,3,0,0,21.7,40,1.1,3.3,10.4,20.5,50,190,190,15.6,20.1,23.3,25,35,28.9,,,1.7,3.3,3.3,3.3,,,11.4,12.2,17.6,14.6,,,,,,,
Oregon,2002,133,88.5,8.5,53.95,1096.3,129.8,129.8,0,0,74,0,122.5,14,-7.8,0,38.3,-0.6,-3.3,-5.9,-7.6,-9.4,-0.9,-2.8,-5,-8.05,-10.6,2907.2,2907.2,10.89,17.035,4.57,2.7,0,22.5,3.5,0,0,23.3,42.2,0.6,2.2,10.4,21.2,42.5,190,190,16.1,26.4,25.6,26.1,36.7,31.7,,,1.1,2.2,2.8,2.2,,,11.6,12.3,18,14.8,,,,,,,
Oregon,2003,163,109,9,67.1,1250.45,195.1,195.1,0.5,0,46,0,125,25,-5.6,12.5,38,-0.6,-3.9,-5.6,-7.9,-10.2,-0.6,-2.8,-4.6,-7.75,-9.7,2641.4,2641.4,11.73,17.37,5.77,2.8,0,17,6.5,8,8,24.4,43.9,0.6,2.2,11.4,21.6,39.5,190,200,14.3,18.3,26.1,,37.2,,,,0.6,,2.8,,,,12.4,,18.6,,,,,,,,
Oregon,2004,151,110,7,53.3,1123.9,164,164,1,0,43,2,127,15,-7.5,25,37.6,-0.3,-2.3,-4.8,-7.8,-9.9,-0.6,-2.8,-6.4,-7.2,-11.15,2569.1,2569.1,11.61,16.9,5.7,2.5,0,32,2.5,0,0,,,,,,,68.5,170,175,14.1,19.2,,,,,,,,,,,,,,,,,,,,,,,
Oregon,2005,152,100.5,10,61.45,1268.35,132.6,132.6,0,0,68,1,109,15,-7.8,0,35.6,-0.6,-2.8,-4.7,-7.15,-9.4,-0.6,-2.8,-5,-7.2,-10,2632.4,2632.4,11.05,16.55,5.14,2.4,0,18.5,7,0,0,24.4,43.9,0,0,10.7,20.4,61,180,230,14.95,20.8,24.4,,37.2,,,,-0.6,,0.6,,,,11.6,,17.7,,,,,,,,
Oregon,2006,145,113.5,15.5,65.25,1584,160.55,160.55,3,0,66,2,129,22.5,-8.8,51,39.7,-0.6,-2.9,-5.2,-7.3,-12.3,0,-2.7,-6.1,-7.8,-10.1,2770.2,2770.2,10.985,17.51,5.06,2.6,0,35,3,6.5,8,26.7,43.3,-0.6,-0.6,10.6,20.6,37,200,230,17.4,24.1,27.2,27.2,38.3,32.2,,,-0.6,1.1,1.1,1.1,,,11.8,12.4,17.8,14.9,,,,,,,
Oregon,2007,141,100,10,59.45,1209.35,98.95,98.95,6.5,0,70.5,2,107,8,-8.3,76,37.45,-0.45,-2.7,-5,-7.2,-9.9,-0.6,-2.65,-5.1,-7.8,-9.65,2840.05,2840.05,10.515,16.02,4.865,2.3,0,53,2,13,13,23.9,41.1,0.6,0.6,10.2,20.4,51,180,200,16.1,21.9,25,26.1,36.7,30,,,0,1.1,0.6,1.1,,,11.3,12,17.5,14.3,,,,,,,
Oregon,2008,149.5,98.5,4,44.5,1004,132.95,132.95,30.5,0,81,4,107,14.5,-10.6,444.5,37.8,-0.6,-2.8,-7.05,-8.55,-10.75,-0.4,-2.8,-5.6,-7.2,-9.45,3129.5,3129.5,10.23,15.86,4.58,2.45,2.5,60,5,102,204,23.9,40.6,-1.1,0,9.7,19.6,60,205,170,19.65,36,25.6,26.1,35.6,30,,,0.6,0.6,0.6,0.6,,,10.8,11.3,16.7,13.8,,,,,,,
Oregon,2009,145,91,5,47,991.05,164.75,164.75,1,0,83.5,5,117,18.5,-12.8,50.5,39.4,-0.15,-2.9,-5.1,-8.05,-10.6,-0.6,-2.45,-4.5,-7.3,-10.1,2922.6,2922.6,10.645,16.37,4.735,2.3,0,180.5,4,13,13,,,,,,,53,180,240,17.9,25.9,,,,,,,,,,,,,,,,,,,,,,,
Oregon,2010,184,124,11,44.7,1423.65,95.35,95.35,1,0,33.5,2,93,11,-8.3,25,36.7,-0.35,-3.5,-5.6,-8.25,-10.55,-0.2,-2.8,-5.4,-8,-11.3,2863.8,2863.8,10.84,16.12,5.675,2.4,0,200,3,13,13,23.3,42.2,1.7,1.7,10.6,20.1,43,180,190,18.1,23.7,25.6,25,36.7,32.2,22.2,,2.2,2.2,2.8,2.8,9.4,,11.6,12.1,17.2,14.5,14.7,,,,,,
Oregon,2011,166,103,6.5,56.1,1110.7,94.6,94.6,23,0,83,2,92,7,-9.4,241.5,34.2,-0.5,-2.6,-5,-6.7,-10,-0.3,-3.3,-8.3,-8.8,-10.6,2960.3,2960.3,9.96,14.74,4.66,2.3,1,194.5,2,52,57,26.1,26.1,1.1,1.1,11.9,12.5,57,230,225,17.9,38.65,,,,,,,,,,,,,,,,,,,,,,,
