FIPS,MIN_AC,MEAN_AC,MAX_AC,MEAN_GR,state,state_code,state_name,county_code,county
53077,1439.8,32021.6,50163.8,2094.4,WA,53,Washington,077,Yakima County
41047,1820.5,5341,8007.8,251,OR,41,Oregon,047,Marion County
16027,737,4039.4,7564.3,401.3,ID,16,Idaho,027,Canyon County
53005,145.7,4664,7434.7,327.3,WA,53,Washington,005,Benton County
41045,14.7,427.8,3425.8,-22.9,OR,41,Oregon,045,Malheur County
41053,76.1,914.5,1752.9,66.8,OR,41,Oregon,053,Polk County
53025,5.4,318.3,1694,42.2,WA,53,Washington,025,Grant County
41005,43.6,425.8,785.1,22.3,OR,41,Oregon,005,Clackamas County
41071,26.7,282.5,743.2,19.7,OR,41,Oregon,071,Yamhill County
53021,0.4,71.3,732.3,14.5,WA,53,Washington,021,Franklin County
41043,2.7,143.2,565.5,6.2,OR,41,Oregon,043,Linn County
41067,0.2,265.4,558.7,4.7,OR,41,Oregon,067,Washington County
16073,19.6,168.2,439.2,14.9,ID,16,Idaho,073,Owyhee County
53071,0.2,51.6,396.8,-4,WA,53,Washington,071,Walla Walla County
16075,3.9,102.6,332.4,1.6,ID,16,Idaho,075,Payette County
53001,0.7,27.4,294.7,5.7,WA,53,Washington,001,Adams County
41059,0.2,28,275.5,7.9,OR,41,Oregon,059,Umatilla County
41003,0.4,71.3,203.5,2.8,OR,41,Oregon,003,Benton County
53037,0.8,56.6,193,8.1,WA,53,Washington,037,Kittitas County
53047,0.2,47,179.3,6.8,WA,53,Washington,047,Okanogan County
53039,0.2,66.2,170.8,6.5,WA,53,Washington,039,Klickitat County
41039,0.2,40.8,121,4.3,OR,41,Oregon,039,Lane County
53007,1.1,28.5,107.2,4.8,WA,53,Washington,007,Chelan County
41051,0.9,32.3,83.2,4.5,OR,41,Oregon,051,Multnomah County
41019,0.2,26.5,73.4,3.6,OR,41,Oregon,019,Douglas County
53017,1.1,26.8,69.2,4.2,WA,53,Washington,017,Douglas County
16001,6.7,26.2,64.7,0.8,ID,16,Idaho,001,Ada County
16045,0.4,12.9,55.8,0,ID,16,Idaho,045,Gem County
41057,0.2,5,50,1.4,OR,41,Oregon,057,Tillamook County
16087,0.8,15.2,47.4,0.8,ID,16,Idaho,087,Washington County
41009,0.2,9.2,32.2,1.2,OR,41,Oregon,009,Columbia County
53043,0.2,5.5,32,1.2,WA,53,Washington,043,Lincoln County
16085,0.2,6.4,30.7,6.2,ID,16,Idaho,085,Valley County
41033,0.8,8.2,30,0.7,OR,41,Oregon,033,Josephine County
41001,0.9,8.2,20.2,1.3,OR,41,Oregon,001,Baker County
41011,0.2,8,20,0.8,OR,41,Oregon,011,Coos County
16015,0.2,3,17.8,-0.4,ID,16,Idaho,015,Boise County
16039,0.2,2.9,16.5,0.5,ID,16,Idaho,039,Elmore County
41007,0.2,3,15.3,0.6,OR,41,Oregon,007,Clatsop County
41015,0.2,9,14.7,0.2,OR,41,Oregon,015,Curry County
53063,1.1,6,14.5,1,WA,53,Washington,063,Spokane County
16003,0.2,3.4,14,0.2,ID,16,Idaho,003,Adams County
53065,0.4,4.2,12.7,0.4,WA,53,Washington,065,Stevens County
16055,1.8,5.4,12.2,0.2,ID,16,Idaho,055,Kootenai County
53019,0.2,5.8,12,0.1,WA,53,Washington,019,Ferry County
41065,0.2,2.3,11.6,-0.7,OR,41,Oregon,065,Wasco County
53011,10.9,10.9,10.9,,WA,53,Washington,011,Clark County
53027,10.7,10.7,10.7,,WA,53,Washington,027,Grays Harbor County
41049,0.2,3.4,10.5,-0.2,OR,41,Oregon,049,Morrow County
41063,0.2,2.8,9.3,0.6,OR,41,Oregon,063,Wallowa County
16049,0.2,2.5,8,-0.1,ID,16,Idaho,049,Idaho County
41041,0.2,3.4,7.6,0.1,OR,41,Oregon,041,Lincoln County
41025,0.2,2,7.3,0.2,OR,41,Oregon,025,Harney County
41061,0.2,2.6,7.3,0.4,OR,41,Oregon,061,Union County
53023,0.4,2.4,6.2,-2.9,WA,53,Washington,023,Garfield County
53015,6,6,6,,WA,53,Washington,015,Cowlitz County
53057,0.2,2.5,5.6,-0.4,WA,53,Washington,057,Skagit County
16069,2.2,2.8,4,0.1,ID,16,Idaho,069,Nez Perce County
53061,0.7,1.9,4,0,WA,53,Washington,061,Snohomish County
16059,3.3,3.3,3.3,,ID,16,Idaho,059,Lemhi County
53073,0.2,1.3,3.3,-0.8,WA,53,Washington,073,Whatcom County
53075,0.2,1.1,3.3,0,WA,53,Washington,075,Whitman County
41031,0.4,1.6,2.9,-0.4,OR,41,Oregon,031,Jefferson County
41029,0.2,1,2.7,0,OR,41,Oregon,029,Jackson County
16047,0.2,1,2.4,0.1,ID,16,Idaho,047,Gooding County
16061,0.2,0.7,2.3,-0.1,ID,16,Idaho,061,Lewis County
16017,0.2,1.4,2.2,0.3,ID,16,Idaho,017,Bonner County
16053,2.2,2.2,2.2,,ID,16,Idaho,053,Jerome County
53013,0.2,0.9,2.2,0,WA,53,Washington,013,Columbia County
16021,0.2,0.8,2,0.6,ID,16,Idaho,021,Boundary County
16057,0.4,1,1.8,-0.1,ID,16,Idaho,057,Latah County
