Value,Category,Acreage,Year,FIPS
1,Corn,13171.3,2007,16001
12,Sweet Corn,461.9,2007,16001
21,Barley,282.1,2007,16001
23,Spring Wheat,957,2007,16001
24,Winter Wheat,4086.9,2007,16001
25,Other Small Grains,110.8,2007,16001
27,Rye,2.3,2007,16001
28,Oats,488.2,2007,16001
36,Alfalfa,22604.5,2007,16001
41,Sugarbeets,1218.2,2007,16001
42,Dry Beans,1247.6,2007,16001
43,Potatoes,516.1,2007,16001
47,Misc Vegs & Fruits,94.5,2007,16001
49,Onions,270.4,2007,16001
53,Peas,219.3,2007,16001
56,Hops,29.4,2007,16001
57,Herbs,1065.5,2007,16001
58,Clover/Wildflowers,48.8,2007,16001
59,Sod/Grass Seed,569.6,2007,16001
61,Fallow/Idle Cropland,2459.6,2007,16001
63,Forest,78.3,2007,16001
67,Peaches,12.4,2007,16001
68,Apples,97.6,2007,16001
69,Grapes,4.6,2007,16001
71,Other Tree Crops,13.9,2007,16001
72,Citrus,10.8,2007,16001
111,Open Water,4198.5,2007,16001
121,Developed/Open Space,66953.2,2007,16001
122,Developed/Low Intensity,28866.6,2007,16001
123,Developed/Medium Intensity,6039.7,2007,16001
124,Developed/High Intensity,688.9,2007,16001
131,Barren,36.4,2007,16001
141,Deciduous Forest,13.2,2007,16001
142,Evergreen Forest,6141.3,2007,16001
152,Shrubland,161231.8,2007,16001
176,Grass/Pasture,354033.9,2007,16001
190,Woody Wetlands,244.9,2007,16001
195,Herbaceous Wetlands,107.7,2007,16001
21,Barley,0.8,2007,16003
23,Spring Wheat,1.5,2007,16003
24,Winter Wheat,8.5,2007,16003
25,Other Small Grains,15.5,2007,16003
28,Oats,13.9,2007,16003
36,Alfalfa,594.4,2007,16003
42,Dry Beans,0.8,2007,16003
47,Misc Vegs & Fruits,0.8,2007,16003
53,Peas,1.5,2007,16003
59,Sod/Grass Seed,5.4,2007,16003
61,Fallow/Idle Cropland,36.4,2007,16003
63,Forest,0.8,2007,16003
111,Open Water,3460,2007,16003
112,Perennial Ice/Snow,43.4,2007,16003
121,Developed/Open Space,2437.9,2007,16003
122,Developed/Low Intensity,1261.6,2007,16003
123,Developed/Medium Intensity,122.4,2007,16003
124,Developed/High Intensity,5.4,2007,16003
131,Barren,86,2007,16003
141,Deciduous Forest,800.5,2007,16003
142,Evergreen Forest,503986.7,2007,16003
152,Shrubland,315059.2,2007,16003
176,Grass/Pasture,48621.7,2007,16003
190,Woody Wetlands,98.4,2007,16003
195,Herbaceous Wetlands,103.1,2007,16003
1,Corn,443.3,2007,16005
12,Sweet Corn,4.6,2007,16005
21,Barley,4217.9,2007,16005
22,Durum Wheat,1.5,2007,16005
23,Spring Wheat,5103.6,2007,16005
24,Winter Wheat,18296.7,2007,16005
25,Other Small Grains,20.9,2007,16005
27,Rye,0.8,2007,16005
28,Oats,179,2007,16005
33,Safflower,499.8,2007,16005
36,Alfalfa,23938.1,2007,16005
41,Sugarbeets,28.7,2007,16005
42,Dry Beans,38,2007,16005
43,Potatoes,5016.1,2007,16005
53,Peas,3.1,2007,16005
59,Sod/Grass Seed,3.1,2007,16005
61,Fallow/Idle Cropland,6770.5,2007,16005
87,Wetlands,19.4,2007,16005
111,Open Water,14901,2007,16005
121,Developed/Open Space,24859.5,2007,16005
122,Developed/Low Intensity,8415.7,2007,16005
123,Developed/Medium Intensity,4117.9,2007,16005
124,Developed/High Intensity,196.1,2007,16005
131,Barren,464.2,2007,16005
141,Deciduous Forest,18636.1,2007,16005
142,Evergreen Forest,90988.2,2007,16005
143,Mixed Forest,186.8,2007,16005
152,Shrubland,393917.5,2007,16005
176,Grass/Pasture,91294.3,2007,16005
190,Woody Wetlands,20987.2,2007,16005
195,Herbaceous Wetlands,756.3,2007,16005
1,Corn,1.5,2007,16007
21,Barley,3685.5,2007,16007
23,Spring Wheat,3503.4,2007,16007
24,Winter Wheat,223.2,2007,16007
25,Other Small Grains,144.1,2007,16007
28,Oats,530,2007,16007
36,Alfalfa,12648.3,2007,16007
43,Potatoes,0.8,2007,16007
61,Fallow/Idle Cropland,609.1,2007,16007
111,Open Water,39768.2,2007,16007
121,Developed/Open Space,10714.1,2007,16007
122,Developed/Low Intensity,1587,2007,16007
123,Developed/Medium Intensity,205.4,2007,16007
124,Developed/High Intensity,31.8,2007,16007
131,Barren,198.4,2007,16007
141,Deciduous Forest,26214.8,2007,16007
142,Evergreen Forest,138249.9,2007,16007
143,Mixed Forest,1263.9,2007,16007
152,Shrubland,303994.1,2007,16007
176,Grass/Pasture,81006.4,2007,16007
190,Woody Wetlands,5081.2,2007,16007
195,Herbaceous Wetlands,41944.2,2007,16007
21,Barley,1711.8,2007,16009
23,Spring Wheat,5301.2,2007,16009
24,Winter Wheat,24415.5,2007,16009
25,Other Small Grains,46.5,2007,16009
28,Oats,330.1,2007,16009
31,Canola,7,2007,16009
36,Alfalfa,191.4,2007,16009
42,Dry Beans,125.5,2007,16009
52,Lentils,4198.5,2007,16009
53,Peas,536.2,2007,16009
59,Sod/Grass Seed,7481.9,2007,16009
61,Fallow/Idle Cropland,1886.9,2007,16009
63,Forest,65.1,2007,16009
111,Open Water,5562.4,2007,16009
121,Developed/Open Space,5791.8,2007,16009
122,Developed/Low Intensity,2215.5,2007,16009
123,Developed/Medium Intensity,280.5,2007,16009
124,Developed/High Intensity,30.2,2007,16009
131,Barren,3.9,2007,16009
141,Deciduous Forest,59.7,2007,16009
142,Evergreen Forest,335515.6,2007,16009
143,Mixed Forest,0.8,2007,16009
152,Shrubland,89887.8,2007,16009
176,Grass/Pasture,12967.5,2007,16009
190,Woody Wetlands,526.9,2007,16009
195,Herbaceous Wetlands,2516.9,2007,16009
1,Corn,9144.9,2007,16011
4,Sorghum,3.1,2007,16011
12,Sweet Corn,245.7,2007,16011
21,Barley,20547.8,2007,16011
22,Durum Wheat,15.5,2007,16011
23,Spring Wheat,51653.2,2007,16011
24,Winter Wheat,57087.7,2007,16011
25,Other Small Grains,80.6,2007,16011
27,Rye,2.3,2007,16011
28,Oats,657.1,2007,16011
31,Canola,536.2,2007,16011
