Variety,Yield,Year,State,Source,outlier
TOTAL IDAHO,1484,2000,Idaho,HGA 22.pdf,FALSE
TOTAL IDAHO,1329,2001,Idaho,HGA 21.pdf,FALSE
TOTAL IDAHO,1624,2002,Idaho,HGA 20.pdf,FALSE
TOTAL IDAHO,1536,2003,Idaho,HGA 19.pdf,FALSE
TOTAL IDAHO,1588,2004,Idaho,HGA 18.pdf,FALSE
TOTAL IDAHO,1640,2005,Idaho,HGA 17.pdf,FALSE
TOTAL IDAHO,1613,2006,Idaho,HGA 16.pdf,FALSE
TOTAL IDAHO,1417,2007,Idaho,HGA 15.pdf,FALSE
TOTAL IDAHO,1841,2008,Idaho,HGA 14.pdf,FALSE
TOTAL IDAHO,1943,2009,Idaho,HGA 13.pdf,FALSE
TOTAL IDAHO,2129,2010,Idaho,HGA 12.pdf,FALSE
TOTAL IDAHO,2408,2011,Idaho,HGA 11.pdf,FALSE
TOTAL IDAHO,1841,2012,Idaho,NASS,FALSE
TOTAL IDAHO,1740,2013,Idaho,NASS,FALSE
TOTAL IDAHO,1847,2014,Idaho,HGA 6.pdf,FALSE
TOTAL IDAHO,1794,2015,Idaho,HGA 5.pdf,FALSE
TOTAL IDAHO,1646,2016,Idaho,HGA 76.pdf,FALSE
TOTAL IDAHO,1974,2017,Idaho,NASS,FALSE
TOTAL IDAHO,1995,2018,Idaho,HGA 168.pdf,FALSE
TOTAL IDAHO,2034,2019,Idaho,HGA 273.pdf,FALSE
TOTAL IDAHO,1855,2020,Idaho,HGA 346.pdf,FALSE
TOTAL IDAHO,1900,2021,Idaho,HGA 405.pdf,FALSE
TOTAL IDAHO,1733,2022,Idaho,NASS,FALSE
TOTAL IDAHO,1949,2023,Idaho,NASS,FALSE
TOTAL IDAHO,2273,2024,Idaho,NASS,FALSE
TOTAL OREGON,1785,2000,Oregon,HGA 22.pdf,FALSE
TOTAL OREGON,1875,2001,Oregon,HGA 21.pdf,FALSE
TOTAL OREGON,1692,2002,Oregon,HGA 20.pdf,FALSE
TOTAL OREGON,1626,2003,Oregon,HGA 19.pdf,FALSE
TOTAL OREGON,1686,2004,Oregon,HGA 18.pdf,FALSE
TOTAL OREGON,1560,2005,Oregon,HGA 17.pdf,FALSE
TOTAL OREGON,1757,2006,Oregon,NASS,FALSE
TOTAL OREGON,1811,2007,Oregon,HGA 15.pdf,FALSE
TOTAL OREGON,1569,2008,Oregon,HGA 14.pdf,FALSE
TOTAL OREGON,1948,2009,Oregon,HGA 13.pdf,FALSE
TOTAL OREGON,1791,2010,Oregon,HGA 12.pdf,FALSE
TOTAL OREGON,1908,2011,Oregon,HGA 11.pdf,FALSE
TOTAL OREGON,1746,2012,Oregon,NASS,FALSE
TOTAL OREGON,1764,2013,Oregon,NASS,FALSE
TOTAL OREGON,1520,2014,Oregon,HGA 6.pdf,FALSE
TOTAL OREGON,1613,2015,Oregon,HGA 5.pdf,FALSE
TOTAL OREGON,1596,2016,Oregon,HGA 76.pdf,FALSE
TOTAL OREGON,1518,2017,Oregon,NASS,FALSE
TOTAL OREGON,1675,2018,Oregon,HGA 168.pdf,FALSE
TOTAL OREGON,1783,2019,Oregon,HGA 273.pdf,FALSE
TOTAL OREGON,1755,2020,Oregon,HGA 346.pdf,FALSE
TOTAL OREGON,1705,2021,Oregon,HGA 405.pdf,FALSE
TOTAL OREGON,1729,2022,Oregon,NASS,FALSE
TOTAL OREGON,1558,2023,Oregon,NASS,FALSE
TOTAL OREGON,1732,2024,Oregon,NASS,FALSE
TOTAL WASHINGTON,1937,2000,Washington,HGA 22.pdf,FALSE
TOTAL WASHINGTON,1928,2001,Washington,HGA 21.pdf,FALSE
TOTAL WASHINGTON,2133,2002,Washington,HGA 20.pdf,FALSE
TOTAL WASHINGTON,2050,2003,Washington,HGA 19.pdf,FALSE
TOTAL WASHINGTON,2137,2004,Washington,HGA 18.pdf,FALSE
TOTAL WASHINGTON,1878,2005,Washington,NASS,FALSE
TOTAL WASHINGTON,2058,2006,Washington,HGA 16.pdf,FALSE
TOTAL WASHINGTON,2049,2007,Washington,HGA 15.pdf,FALSE
TOTAL WASHINGTON,2072,2008,Washington,HGA 14.pdf,FALSE
TOTAL WASHINGTON,2533,2009,Washington,HGA 13.pdf,TRUE
TOTAL WASHINGTON,2147,2010,Washington,HGA 12.pdf,FALSE
TOTAL WASHINGTON,2200,2011,Washington,HGA 11.pdf,FALSE
TOTAL WASHINGTON,2047,2012,Washington,NASS,FALSE
TOTAL WASHINGTON,2025,2013,Washington,NASS,FALSE
TOTAL WASHINGTON,1936,2014,Washington,HGA 6.pdf,FALSE
TOTAL WASHINGTON,1849,2015,Washington,HGA 5.pdf,FALSE
TOTAL WASHINGTON,1748,2016,Washington,HGA 76.pdf,FALSE
TOTAL WASHINGTON,2046,2017,Washington,NASS,FALSE
TOTAL WASHINGTON,1984,2018,Washington,HGA 168.pdf,FALSE
TOTAL WASHINGTON,2006,2019,Washington,HGA 273.pdf,FALSE
TOTAL WASHINGTON,1754,2020,Washington,HGA 346.pdf,FALSE
TOTAL WASHINGTON,1932,2021,Washington,NASS,FALSE
TOTAL WASHINGTON,1679,2022,Washington,HGA 435.pdf,TRUE
TOTAL WASHINGTON,1971,2023,Washington,NASS,FALSE
TOTAL WASHINGTON,1922,2024,Washington,NASS,FALSE
