Variety,Yield,Year,State,Source,outlier
AHTANUM YCR 1,758,2005,Washington,HGA 17.pdf,FALSE
AHTANUM YCR 1,2110,2006,Washington,HGA 16.pdf,FALSE
AHTANUM YCR 1,1964,2007,Washington,HGA 15.pdf,FALSE
AHTANUM YCR 1,1489,2012,Washington,HGA 10.pdf,FALSE
AHTANUM YCR 1,1647,2013,Washington,HGA 9.pdf,FALSE
AHTANUM YCR 1,1680,2014,Washington,HGA 6.pdf,FALSE
AHTANUM YCR 1,1557,2015,Washington,HGA 5.pdf,FALSE
AHTANUM YCR 1,1012,2016,Washington,HGA 76.pdf,FALSE
AHTANUM YCR 1,1052,2017,Washington,HGA 105.pdf,FALSE
AHTANUM YCR 1,2730,2018,Washington,HGA 168.pdf,FALSE
AHTANUM YCR 1,2820,2019,Washington,NASS,FALSE
AHTANUM YCR 1,2134,2020,Washington,HGA 346.pdf,FALSE
AHTANUM YCR 1,2211,2021,Washington,HGA 405.pdf,FALSE
AHTANUM YCR 1,2032,2022,Washington,HGA 435.pdf,FALSE
AMARILLO VGXP01,1569,2017,Idaho,HGA 105.pdf,FALSE
AMARILLO VGXP01,2009,2018,Idaho,HGA 168.pdf,FALSE
AMARILLO VGXP01,1560,2019,Idaho,NASS,FALSE
AMARILLO VGXP01,1576,2020,Idaho,HGA 346.pdf,FALSE
AMARILLO VGXP01,1813,2021,Idaho,HGA 405.pdf,FALSE
AMARILLO VGXP01,1458,2022,Idaho,HGA 435.pdf,FALSE
AMARILLO VGXP01,1589,2023,Idaho,NASS,FALSE
AMARILLO VGXP01,1891,2024,Idaho,NASS,FALSE
AMARILLO VGXP01,2312,2019,Oregon,NASS,FALSE
AMARILLO VGXP01,2360,2020,Oregon,HGA 346.pdf,FALSE
AMARILLO VGXP01,2186,2021,Oregon,HGA 405.pdf,FALSE
AMARILLO VGXP01,1870,2022,Oregon,HGA 435.pdf,FALSE
AMARILLO VGXP01,1841,2023,Oregon,NASS,FALSE
AMARILLO VGXP01,1727,2024,Oregon,NASS,FALSE
AMARILLO VGXP01,1687,2017,Washington,HGA 105.pdf,FALSE
AMARILLO VGXP01,1868,2018,Washington,HGA 168.pdf,FALSE
AMARILLO VGXP01,1946,2019,Washington,HGA 273.pdf,TRUE
AMARILLO VGXP01,1649,2020,Washington,HGA 346.pdf,FALSE
AMARILLO VGXP01,1659,2021,Washington,HGA 405.pdf,FALSE
AMARILLO VGXP01,1486,2022,Washington,HGA 435.pdf,FALSE
AMARILLO VGXP01,1686,2023,Washington,NASS,FALSE
AMARILLO VGXP01,1419,2024,Washington,NASS,TRUE
APOLLO,2230,2013,Idaho,NASS,FALSE
APOLLO,2004,2014,Idaho,HGA 6.pdf,FALSE
APOLLO,2062,2015,Idaho,HGA 5.pdf,FALSE
APOLLO,1893,2016,Idaho,HGA 76.pdf,FALSE
APOLLO,1798,2017,Idaho,HGA 105.pdf,FALSE
APOLLO,1951,2018,Idaho,HGA 168.pdf,FALSE
APOLLO,2535,2021,Idaho,HGA 405.pdf,FALSE
APOLLO,2744,2023,Idaho,NASS,FALSE
APOLLO,2709,2024,Idaho,NASS,FALSE
APOLLO,2778,2010,Washington,HGA 12.pdf,FALSE
APOLLO,2758,2011,Washington,HGA 11.pdf,FALSE
APOLLO,2655,2012,Washington,HGA 10.pdf,FALSE
APOLLO,2926,2013,Washington,NASS,FALSE
APOLLO,2649,2014,Washington,HGA 6.pdf,FALSE
APOLLO,2738,2015,Washington,HGA 5.pdf,FALSE
APOLLO,2225,2016,Washington,HGA 76.pdf,TRUE
APOLLO,2729,2017,Washington,HGA 105.pdf,FALSE
APOLLO,2848,2018,Washington,HGA 168.pdf,FALSE
APOLLO,2735,2019,Washington,HGA 273.pdf,FALSE
APOLLO,2248,2020,Washington,HGA 346.pdf,TRUE
APOLLO,2949,2021,Washington,HGA 405.pdf,FALSE
APOLLO,2483,2022,Washington,HGA 435.pdf,FALSE
APOLLO,2989,2023,Washington,NASS,FALSE
APOLLO,2682,2024,Washington,NASS,FALSE
AZACCA ADHA-483,1704,2014,Washington,HGA 6.pdf,FALSE
AZACCA ADHA-483,1872,2015,Washington,HGA 5.pdf,FALSE
AZACCA ADHA-483,1870,2016,Washington,HGA 76.pdf,FALSE
AZACCA ADHA-483,2463,2017,Washington,HGA 105.pdf,FALSE
AZACCA ADHA-483,2491,2018,Washington,HGA 168.pdf,FALSE
AZACCA ADHA-483,2441,2019,Washington,HGA 273.pdf,FALSE
AZACCA ADHA-483,1527,2020,Washington,HGA 346.pdf,FALSE
AZACCA ADHA-483,1909,2021,Washington,HGA 405.pdf,FALSE
AZACCA ADHA-483,1559,2022,Washington,HGA 435.pdf,FALSE
AZACCA ADHA-483,1980,2023,Washington,NASS,FALSE
AZACCA ADHA-483,2020,2024,Washington,NASS,FALSE
BRAVO,2430,2013,Idaho,NASS,FALSE
BRAVO,2579,2014,Idaho,HGA 6.pdf,FALSE
BRAVO,2625,2015,Idaho,HGA 5.pdf,FALSE
BRAVO,2359,2016,Idaho,HGA 76.pdf,FALSE
BRAVO,2799,2017,Idaho,HGA 105.pdf,FALSE
BRAVO,2226,2018,Idaho,HGA 168.pdf,FALSE
BRAVO,1163,2021,Idaho,HGA 405.pdf,TRUE
BRAVO,2566,2010,Washington,HGA 12.pdf,FALSE
BRAVO,2609,2011,Washington,HGA 11.pdf,FALSE
BRAVO,2647,2012,Washington,HGA 10.pdf,FALSE
BRAVO,2860,2013,Washington,NASS,FALSE
BRAVO,2768,2014,Washington,HGA 6.pdf,FALSE
BRAVO,2824,2015,Washington,HGA 5.pdf,FALSE
BRAVO,2671,2016,Washington,HGA 76.pdf,FALSE
BRAVO,2973,2017,Washington,NASS,FALSE
BRAVO,3258,2018,Washington,NASS,TRUE
BRAVO,3216,2019,Washington,HGA 273.pdf,FALSE
BRAVO,2308,2020,Washington,HGA 346.pdf,FALSE
BRAVO,2759,2021,Washington,HGA 405.pdf,FALSE
BRAVO,2161,2022,Washington,HGA 435.pdf,TRUE
BRAVO,2896,2023,Washington,NASS,FALSE
BRAVO,2711,2024,Washington,NASS,FALSE
CALYPSO,1710,2015,Idaho,HGA 5.pdf,FALSE
CALYPSO,1937,2016,Idaho,HGA 76.pdf,FALSE
CALYPSO,2159,2017,Idaho,HGA 105.pdf,FALSE
CALYPSO,2138,2018,Idaho,HGA 168.pdf,FALSE
CALYPSO,1901,2019,Idaho,HGA 273.pdf,FALSE
CALYPSO,1974,2021,Idaho,HGA 405.pdf,FALSE
CALYPSO,2930,2021,Washington,HGA 405.pdf,FALSE
CASCADE,1224,2013,Idaho,HGA 9.pdf,FALSE
CASCADE,1746,2014,Idaho,HGA 6.pdf,FALSE
CASCADE,1633,2015,Idaho,HGA 5.pdf,FALSE
CASCADE,1585,2016,Idaho,HGA 76.pdf,FALSE
CASCADE,1771,2017,Idaho,HGA 105.pdf,FALSE
CASCADE,1716,2018,Idaho,HGA 168.pdf,FALSE
CASCADE,1823,2019,Idaho,HGA 273.pdf,FALSE
CASCADE,1213,2020,Idaho,HGA 346.pdf,FALSE
CASCADE,1559,2021,Idaho,HGA 405.pdf,FALSE
CASCADE,1494,2022,Idaho,HGA 435.pdf,FALSE
CASCADE,1957,2023,Idaho,NASS,FALSE
CASCADE,2136,2024,Idaho,NASS,FALSE
CASCADE,1477,2002,Oregon,HGA 20.pdf,FALSE
CASCADE,1393,2004,Oregon,HGA 18.pdf,FALSE
CASCADE,1365,2005,Oregon,HGA 17.pdf,FALSE
CASCADE,1068,2008,Oregon,HGA 14.pdf,TRUE
CASCADE,1741,2009,Oregon,HGA 13.pdf,FALSE
