source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2024,ANNUAL,00,00,YEAR,"",2024-12-20 15:00:00.000,,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2023,ANNUAL,00,00,YEAR,"",2024-12-20 15:00:00.000,,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2022,ANNUAL,00,00,YEAR,"",2024-01-09 15:00:00.000,168,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2021,ANNUAL,00,00,YEAR,"",2024-01-09 15:00:00.000,166,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2020,ANNUAL,00,00,YEAR,"",2024-01-09 15:00:00.000,230,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2019,ANNUAL,00,00,YEAR,"",2024-01-09 15:00:00.000,261,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2018,ANNUAL,00,00,YEAR,"",2024-01-09 15:00:00.000,255,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2017,ANNUAL,00,00,YEAR,"",2019-02-06 15:00:06.000,371,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2016,ANNUAL,00,00,YEAR,"",2019-02-06 15:00:06.000,155,""
SURVEY,CROPS,FIELD CROPS,HOPS,"AHTANUM R, YCR 1",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"HOPS, AHTANUM R, YCR 1 - ACRES HARVESTED",TOTAL,NOT SPECIFIED,STATE,53,53,WA,WASHINGTON,"","","","","","","",00000000,"","",9000,UNITED STATES,WASHINGTON,2015,ANNUAL,00,00,YEAR,"",2019-02-06 15:00:06.000,145,""
