Variety,Yield,Year,State
ALL CLASSES,1484,2000,Idaho
ALL CLASSES,1785,2000,Oregon
ALL CLASSES,1871,2000,Us Total
ALL CLASSES,1937,2000,Washington
ALL CLASSES,1329,2001,Idaho
ALL CLASSES,1875,2001,Oregon
ALL CLASSES,1861,2001,Us Total
ALL CLASSES,1928,2001,Washington
ALL CLASSES,1624,2002,Idaho
ALL CLASSES,1692,2002,Oregon
ALL CLASSES,1990,2002,Us Total
ALL CLASSES,2133,2002,Washington
ALL CLASSES,1536,2003,Idaho
ALL CLASSES,1626,2003,Oregon
ALL CLASSES,1903,2003,Us Total
ALL CLASSES,2050,2003,Washington
ALL CLASSES,1588,2004,Idaho
ALL CLASSES,1686,2004,Oregon
ALL CLASSES,1990,2004,Us Total
ALL CLASSES,2137,2004,Washington
ALL CLASSES,1640,2005,Idaho
ALL CLASSES,1560,2005,Oregon
ALL CLASSES,1796,2005,Us Total
ALL CLASSES,1878,2005,Washington
ALL CLASSES,1613,2006,Idaho
ALL CLASSES,1757,2006,Oregon
ALL CLASSES,1964,2006,Us Total
ALL CLASSES,2058,2006,Washington
ALL CLASSES,1417,2007,Idaho
ALL CLASSES,1811,2007,Oregon
ALL CLASSES,1949,2007,Us Total
ALL CLASSES,2049,2007,Washington
ALL CLASSES,1841,2008,Idaho
ALL CLASSES,1569,2008,Oregon
ALL CLASSES,1971,2008,Us Total
ALL CLASSES,2072,2008,Washington
ALL CLASSES,1943,2009,Idaho
ALL CLASSES,1948,2009,Oregon
ALL CLASSES,2383,2009,Us Total
ALL CLASSES,2533,2009,Washington
ALL CLASSES,2129,2010,Idaho
ALL CLASSES,1791,2010,Oregon
ALL CLASSES,2093,2010,Us Total
ALL CLASSES,2147,2010,Washington
ALL CLASSES,2408,2011,Idaho
ALL CLASSES,1908,2011,Oregon
ALL CLASSES,2175,2011,Us Total
ALL CLASSES,2200,2011,Washington
ALL CLASSES,1841,2012,Idaho
ALL CLASSES,1746,2012,Oregon
ALL CLASSES,1985,2012,Us Total
ALL CLASSES,2047,2012,Washington
ALL CLASSES,1740,2013,Idaho
APOLLO,2230,2013,Idaho
BRAVO,2430,2013,Idaho
CASCADE,1224,2013,Idaho
CENTENNIAL,1004,2013,Idaho
CHINOOK,1801,2013,Idaho
CITRA HBC 394,1011,2013,Idaho
EL DORADO,971,2013,Idaho
EXPERIMENTAL,2800,2013,Idaho
OTHER VARIETIES,1063,2013,Idaho
SUPER GALENA,2201,2013,Idaho
ZEUS,3049,2013,Idaho
ALL CLASSES,1764,2013,Oregon
CASCADE,1483,2013,Oregon
CENTENNIAL,1585,2013,Oregon
EXPERIMENTAL,1734,2013,Oregon
FUGGLE,827,2013,Oregon
GOLDING,1148,2013,Oregon
HALLERTAUER MAGNUM,1406,2013,Oregon
MT. HOOD,1567,2013,Oregon
NUGGET,2053,2013,Oregon
OTHER VARIETIES,1931,2013,Oregon
PERLE,1178,2013,Oregon
STERLING,1621,2013,Oregon
SUPER GALENA,1852,2013,Oregon
WILLAMETTE,1491,2013,Oregon
ALL CLASSES,1962,2013,Us Total
AHTANUM YCR 1,1647,2013,Washington
ALL CLASSES,2025,2013,Washington
APOLLO,2926,2013,Washington
BRAVO,2860,2013,Washington
C/T/Z,2571,2013,Washington
CASCADE,1723,2013,Washington
CENTENNIAL,1554,2013,Washington
CHINOOK,1987,2013,Washington
CITRA HBC 394,1405,2013,Washington
CLUSTER,1948,2013,Washington
CRYSTAL,1286,2013,Washington
EL DORADO,1761,2013,Washington
EXPERIMENTAL,1562,2013,Washington
FUGGLE,,2013,Washington
GALENA,1969,2013,Washington
GLACIER,1258,2013,Washington
GOLDING,1010,2013,Washington
HALLERTAUER MAGNUM,,2013,Washington
HALLERTAUER MITTELFRUHER,,2013,Washington
LIBERTY,,2013,Washington
MILLENNIUM,2266,2013,Washington
MOSAIC HBC 369,1709,2013,Washington
MT. HOOD,1161,2013,Washington
NORTHERN BREWER,1256,2013,Washington
NUGGET,1931,2013,Washington
OTHER VARIETIES,1697,2013,Washington
