Variety,State,Year,NASS,HGA,ERR,PERC_ERR,Drop
AHTANUM YCR 1,Washington,2019,2820,1960,-860,-43.878,HGA
SUPER GALENA,Oregon,2013,1852,2557,705,27.571,HGA
BRAVO,Washington,2018,3258,2671,-587,-21.977,HGA
SABRO HBC 438,Washington,2021,2207,1886,-321,-17.02,HGA
BRAVO,Washington,2017,2973,2671,-302,-11.307,HGA
APOLLO,Idaho,2013,2230,2054,-176,-8.569,HGA
BRAVO,Idaho,2013,2430,2635,205,7.78,HGA
TOTAL OREGON,Oregon,2012,1746,1885,139,7.374,HGA
BRAVO,Washington,2013,2860,3076,216,7.022,HGA
TOTAL IDAHO,Idaho,2012,1841,1745,-96,-5.501,HGA
EUREKA!,Idaho,2021,2552,2433,-119,-4.891,HGA
AMARILLO VGXP01,Oregon,2019,2312,2208,-104,-4.71,HGA
SUPER GALENA,Idaho,2013,2201,2287,86,3.76,HGA
AMARILLO VGXP01,Idaho,2019,1560,1613,53,3.286,HGA
NUGGET,Washington,2014,1583,1538,-45,-2.926,HGA
APOLLO,Washington,2013,2926,2993,67,2.239,HGA
TOTAL WASHINGTON,Washington,2021,1932,1900,-32,-1.684,HGA
CITRA HBC 394,Idaho,2018,1438,1415,-23,-1.625,HGA
TOTAL OREGON,Oregon,2013,1764,1786,22,1.232,HGA
TOTAL WASHINGTON,Washington,2005,1878,1871,-7,-0.374,HGA
TOTAL UNITED STATES,United States,2013,1962,1969,7,0.356,HGA
WILLAMETTE,Oregon,2018,1489,1484,-5,-0.337,HGA
TOTAL IDAHO,Idaho,2017,1974,1968,-6,-0.305,HGA
TOTAL UNITED STATES,United States,2005,1796,1791,-5,-0.279,HGA
TOTAL WASHINGTON,Washington,2013,2025,2029,4,0.197,HGA
TOTAL OREGON,Oregon,2006,1757,1760,3,0.17,HGA
TOTAL UNITED STATES,United States,2017,1956,1959,3,0.153,HGA
SUPER GALENA,Washington,2013,2816,2812,-4,-0.142,HGA
TOTAL OREGON,Oregon,2017,1518,1517,-1,-0.066,HGA
TOTAL IDAHO,Idaho,2022,1733,1734,1,0.058,HGA
TOTAL OREGON,Oregon,2022,1729,1728,-1,-0.058,HGA
TOTAL IDAHO,Idaho,2013,1740,1741,1,0.057,HGA
CHINOOK,Oregon,2015,1860,1861,1,0.054,HGA
TOTAL WASHINGTON,Washington,2017,2046,2047,1,0.049,HGA
EL DORADO,Washington,2015,2154,2155,1,0.046,HGA
TOTAL IDAHO,Idaho,2000,1484,1484,0,0,NASS
TOTAL OREGON,Oregon,2000,1785,1785,0,0,NASS
TOTAL UNITED STATES,United States,2000,1871,1871,0,0,NASS
TOTAL WASHINGTON,Washington,2000,1937,1937,0,0,NASS
TOTAL IDAHO,Idaho,2001,1329,1329,0,0,NASS
TOTAL OREGON,Oregon,2001,1875,1875,0,0,NASS
TOTAL UNITED STATES,United States,2001,1861,1861,0,0,NASS
TOTAL WASHINGTON,Washington,2001,1928,1928,0,0,NASS
TOTAL IDAHO,Idaho,2002,1624,1624,0,0,NASS
TOTAL OREGON,Oregon,2002,1692,1692,0,0,NASS
TOTAL UNITED STATES,United States,2002,1990,1990,0,0,NASS
TOTAL WASHINGTON,Washington,2002,2133,2133,0,0,NASS
TOTAL IDAHO,Idaho,2003,1536,1536,0,0,NASS
TOTAL OREGON,Oregon,2003,1626,1626,0,0,NASS
TOTAL UNITED STATES,United States,2003,1903,1903,0,0,NASS
TOTAL WASHINGTON,Washington,2003,2050,2050,0,0,NASS
TOTAL IDAHO,Idaho,2004,1588,1588,0,0,NASS
TOTAL OREGON,Oregon,2004,1686,1686,0,0,NASS
TOTAL UNITED STATES,United States,2004,1990,1990,0,0,NASS
TOTAL WASHINGTON,Washington,2004,2137,2137,0,0,NASS
TOTAL IDAHO,Idaho,2005,1640,1640,0,0,NASS
TOTAL OREGON,Oregon,2005,1560,1560,0,0,NASS
TOTAL IDAHO,Idaho,2006,1613,1613,0,0,NASS
TOTAL UNITED STATES,United States,2006,1964,1964,0,0,NASS
TOTAL WASHINGTON,Washington,2006,2058,2058,0,0,NASS
TOTAL IDAHO,Idaho,2007,1417,1417,0,0,NASS
TOTAL OREGON,Oregon,2007,1811,1811,0,0,NASS
TOTAL UNITED STATES,United States,2007,1949,1949,0,0,NASS
TOTAL WASHINGTON,Washington,2007,2049,2049,0,0,NASS
TOTAL IDAHO,Idaho,2008,1841,1841,0,0,NASS
TOTAL OREGON,Oregon,2008,1569,1569,0,0,NASS
TOTAL UNITED STATES,United States,2008,1971,1971,0,0,NASS
TOTAL WASHINGTON,Washington,2008,2072,2072,0,0,NASS
TOTAL IDAHO,Idaho,2009,1943,1943,0,0,NASS
TOTAL OREGON,Oregon,2009,1948,1948,0,0,NASS
TOTAL UNITED STATES,United States,2009,2383,2383,0,0,NASS
TOTAL WASHINGTON,Washington,2009,2533,2533,0,0,NASS
TOTAL IDAHO,Idaho,2010,2129,2129,0,0,NASS
TOTAL OREGON,Oregon,2010,1791,1791,0,0,NASS
TOTAL UNITED STATES,United States,2010,2093,2093,0,0,NASS
TOTAL WASHINGTON,Washington,2010,2147,2147,0,0,NASS
TOTAL IDAHO,Idaho,2011,2408,2408,0,0,NASS
TOTAL OREGON,Oregon,2011,1908,1908,0,0,NASS
TOTAL UNITED STATES,United States,2011,2175,2175,0,0,NASS
TOTAL WASHINGTON,Washington,2011,2200,2200,0,0,NASS
CASCADE,Idaho,2013,1224,1224,0,0,NASS
CENTENNIAL,Idaho,2013,1004,1004,0,0,NASS
CHINOOK,Idaho,2013,1801,1801,0,0,NASS
CITRA HBC 394,Idaho,2013,1011,1011,0,0,NASS
EL DORADO,Idaho,2013,971,971,0,0,NASS
ZEUS,Idaho,2013,3049,3049,0,0,NASS
CASCADE,Oregon,2013,1483,1483,0,0,NASS
CENTENNIAL,Oregon,2013,1585,1585,0,0,NASS
FUGGLE,Oregon,2013,827,827,0,0,NASS
GOLDING,Oregon,2013,1148,1148,0,0,NASS
MT. HOOD,Oregon,2013,1567,1567,0,0,NASS
NUGGET,Oregon,2013,2053,2053,0,0,NASS
